easting,northing,elevation,dataset
647275.47,7516738.99,101.36,t1
647276.47,7516738.99,100.65,t1
647277.47,7516738.99,99.94,t1
647278.47,7516738.99,99.23,t1
647279.47,7516738.99,98.52,t1
647280.47,7516738.99,97.81,t1
647281.47,7516738.99,97.1,t1
647282.47,7516738.99,96.37,t1
647283.47,7516738.99,95.61,t1
647284.47,7516738.99,94.86,t1
647285.47,7516738.99,94.12,t1
647286.47,7516738.99,93.37,t1
647287.47,7516738.99,92.62,t1
647288.47,7516738.99,95.85,t1
647289.47,7516738.99,95.55,t1
647290.47,7516738.99,95.27,t1
647291.47,7516738.99,89.43,t1
647292.47,7516738.99,88.6,t1
647293.47,7516738.99,96.24,t1
647294.47,7516738.99,95.88,t1
647295.47,7516738.99,95.67,t1
647296.47,7516738.99,95.45,t1
647297.47,7516738.99,95.21,t1
647298.47,7516738.99,94.91,t1
647299.47,7516738.99,94.66,t1
647300.47,7516738.99,94.45,t1
647301.47,7516738.99,94.23,t1
647302.47,7516738.99,93.95,t1
647303.47,7516738.99,93.7,t1
647304.47,7516738.99,93.49,t1
647305.47,7516738.99,93.19,t1
647306.47,7516738.99,92.9,t1
647307.47,7516738.99,92.73,t1
647308.47,7516738.99,92.58,t1
647309.47,7516738.99,92.38,t1
647310.47,7516738.99,92.12,t1
647311.47,7516738.99,91.84,t1
647312.47,7516738.99,91.51,t1
647313.47,7516738.99,91.25,t1
647314.47,7516738.99,90.99,t1
647315.47,7516738.99,90.61,t1
647316.47,7516738.99,90.34,t1
647317.47,7516738.99,90.51,t1
647318.47,7516738.99,90.19,t1
647319.47,7516738.99,89.94,t1
647320.47,7516738.99,89.78,t1
647321.47,7516738.99,89.59,t1
647322.47,7516738.99,89.26,t1
647323.47,7516738.99,89.08,t1
647324.47,7516738.99,88.87,t1
647325.47,7516738.99,88.65,t1
647326.47,7516738.99,88.35,t1
647327.47,7516738.99,88.26,t1
647328.47,7516738.99,88.05,t1
647329.47,7516738.99,87.55,t1
647330.47,7516738.99,84.43,t1
647331.47,7516738.99,84.2,t1
647332.47,7516738.99,83.97,t1
647333.47,7516738.99,83.92,t1
647334.47,7516738.99,83.84,t1
647335.47,7516738.99,83.74,t1
647336.47,7516738.99,83.66,t1
647337.47,7516738.99,83.57,t1
647338.47,7516738.99,83.49,t1
647339.47,7516738.99,83.38,t1
647340.47,7516738.99,83.28,t1
647341.47,7516738.99,83.17,t1
647342.47,7516738.99,83.1,t1
647343.47,7516738.99,85.59,t1
647344.47,7516738.99,85.79,t1
647345.47,7516738.99,85.33,t1
647346.47,7516738.99,85.23,t1
647347.47,7516738.99,85.09,t1
647348.47,7516738.99,84.89,t1
647349.47,7516738.99,84.66,t1
647350.47,7516738.99,84.37,t1
647351.47,7516738.99,84.1,t1
647352.47,7516738.99,83.82,t1
647353.47,7516738.99,84.28,t1
647354.47,7516738.99,84.21,t1
647355.47,7516738.99,83.74,t1
647356.47,7516738.99,82.43,t1
647357.47,7516738.99,82.39,t1
647358.47,7516738.99,82.34,t1
647359.47,7516738.99,82.3,t1
647360.47,7516738.99,82.23,t1
647361.47,7516738.99,82.94,t1
647362.47,7516738.99,82.94,t1
647363.47,7516738.99,81.5,t1
647364.47,7516738.99,81.34,t1
647365.47,7516738.99,81.34,t1
647366.47,7516738.99,81.6,t1
647367.47,7516738.99,81.57,t1
647368.47,7516738.99,81.52,t1
647369.47,7516738.99,81.49,t1
647370.47,7516738.99,81.45,t1
647371.47,7516738.99,81.1,t1
647372.47,7516738.99,80.93,t1
647373.47,7516738.99,80.22,t1
647374.47,7516738.99,80.16,t1
647275.47,7516738.99,101.36,t2
647276.47,7516738.99,100.65,t2
647277.47,7516738.99,99.58,t2
647278.47,7516738.99,98.95,t2
647279.47,7516738.99,98.49,t2
647280.47,7516738.99,97.95,t2
647281.47,7516738.99,97.73,t2
647282.47,7516738.99,97.52,t2
647283.47,7516738.99,97.37,t2
647284.47,7516738.99,97.26,t2
647285.47,7516738.99,97.19,t2
647286.47,7516738.99,97.23,t2
647287.47,7516738.99,97.24,t2
647288.47,7516738.99,97.33,t2
647289.47,7516738.99,97.46,t2
647290.47,7516738.99,97.21,t2
647291.47,7516738.99,96.8,t2
647292.47,7516738.99,96.61,t2
647293.47,7516738.99,96.29,t2
647294.47,7516738.99,96.02,t2
647295.47,7516738.99,95.69,t2
647296.47,7516738.99,95.41,t2
647297.47,7516738.99,95.2,t2
647298.47,7516738.99,94.97,t2
647299.47,7516738.99,94.7,t2
647300.47,7516738.99,94.43,t2
647301.47,7516738.99,94.15,t2
647302.47,7516738.99,93.85,t2
647303.47,7516738.99,93.67,t2
647304.47,7516738.99,93.42,t2
647305.47,7516738.99,93.23,t2
647306.47,7516738.99,93.0,t2
647307.47,7516738.99,92.78,t2
647308.47,7516738.99,92.55,t2
647309.47,7516738.99,92.38,t2
647310.47,7516738.99,92.12,t2
647311.47,7516738.99,91.84,t2
647312.47,7516738.99,91.51,t2
647313.47,7516738.99,91.25,t2
647314.47,7516738.99,90.99,t2
647315.47,7516738.99,90.61,t2
647316.47,7516738.99,90.34,t2
647317.47,7516738.99,90.51,t2
647318.47,7516738.99,90.19,t2
647319.47,7516738.99,89.94,t2
