easting,northing,elevation,dataset
647264.47,7516919.99,105.27,t1
647265.47,7516919.99,104.51,t1
647266.47,7516919.99,103.79,t1
647267.47,7516919.99,103.07,t1
647268.47,7516919.99,102.35,t1
647269.47,7516919.99,101.57,t1
647270.47,7516919.99,100.77,t1
647271.47,7516919.99,99.97,t1
647272.47,7516919.99,99.17,t1
647273.47,7516919.99,98.42,t1
647274.47,7516919.99,97.7,t1
647275.47,7516919.99,97.25,t1
647276.47,7516919.99,96.63,t1
647277.47,7516919.99,95.86,t1
647278.47,7516919.99,94.84,t1
647279.47,7516919.99,94.61,t1
647280.47,7516919.99,94.44,t1
647281.47,7516919.99,97.76,t1
647282.47,7516919.99,100.77,t1
647283.47,7516919.99,97.47,t1
647284.47,7516919.99,97.3,t1
647285.47,7516919.99,97.04,t1
647286.47,7516919.99,96.89,t1
647287.47,7516919.99,96.77,t1
647288.47,7516919.99,96.65,t1
647289.47,7516919.99,96.52,t1
647290.47,7516919.99,96.32,t1
647291.47,7516919.99,96.25,t1
647292.47,7516919.99,96.16,t1
647293.47,7516919.99,96.11,t1
647294.47,7516919.99,96.08,t1
647295.47,7516919.99,96.1,t1
647296.47,7516919.99,95.92,t1
647297.47,7516919.99,95.68,t1
647298.47,7516919.99,95.5,t1
647299.47,7516919.99,95.3,t1
647300.47,7516919.99,95.04,t1
647301.47,7516919.99,94.73,t1
647302.47,7516919.99,94.67,t1
647303.47,7516919.99,95.54,t1
647304.47,7516919.99,95.19,t1
647305.47,7516919.99,94.83,t1
647306.47,7516919.99,94.53,t1
647307.47,7516919.99,94.29,t1
647308.47,7516919.99,94.0,t1
647309.47,7516919.99,93.62,t1
647310.47,7516919.99,93.4,t1
647311.47,7516919.99,93.25,t1
647312.47,7516919.99,92.96,t1
647313.47,7516919.99,92.84,t1
647314.47,7516919.99,92.72,t1
647315.47,7516919.99,92.62,t1
647316.47,7516919.99,92.46,t1
647317.47,7516919.99,92.31,t1
647318.47,7516919.99,92.22,t1
647319.47,7516919.99,92.06,t1
647320.47,7516919.99,91.87,t1
647321.47,7516919.99,91.67,t1
647322.47,7516919.99,91.49,t1
647323.47,7516919.99,91.3,t1
647324.47,7516919.99,91.13,t1
647325.47,7516919.99,90.94,t1
647326.47,7516919.99,90.71,t1
647327.47,7516919.99,90.56,t1
647328.47,7516919.99,90.35,t1
647329.47,7516919.99,90.15,t1
647330.47,7516919.99,89.97,t1
647331.47,7516919.99,89.77,t1
647332.47,7516919.99,89.67,t1
647333.47,7516919.99,89.51,t1
647334.47,7516919.99,89.45,t1
647335.47,7516919.99,89.3,t1
647336.47,7516919.99,89.27,t1
647337.47,7516919.99,89.11,t1
647338.47,7516919.99,89.01,t1
647339.47,7516919.99,88.88,t1
647340.47,7516919.99,88.63,t1
647341.47,7516919.99,88.39,t1
647342.47,7516919.99,88.28,t1
647343.47,7516919.99,88.05,t1
647344.47,7516919.99,87.78,t1
647345.47,7516919.99,87.59,t1
647346.47,7516919.99,87.33,t1
647347.47,7516919.99,87.15,t1
647348.47,7516919.99,87.0,t1
647349.47,7516919.99,86.88,t1
647350.47,7516919.99,86.73,t1
647351.47,7516919.99,86.58,t1
647352.47,7516919.99,86.42,t1
647353.47,7516919.99,86.34,t1
647354.47,7516919.99,86.24,t1
647355.47,7516919.99,86.12,t1
647356.47,7516919.99,86.07,t1
647264.47,7516919.99,107.62,t2
647265.47,7516919.99,105.96,t2
647266.47,7516919.99,104.96,t2
647267.47,7516919.99,104.25,t2
647268.47,7516919.99,103.62,t2
647269.47,7516919.99,103.22,t2
647270.47,7516919.99,103.39,t2
647271.47,7516919.99,102.95,t2
647272.47,7516919.99,102.74,t2
647273.47,7516919.99,102.45,t2
647274.47,7516919.99,102.18,t2
647275.47,7516919.99,101.92,t2
647276.47,7516919.99,101.63,t2
647277.47,7516919.99,101.35,t2
647278.47,7516919.99,101.07,t2
647279.47,7516919.99,103.8,t2
647280.47,7516919.99,103.59,t2
647281.47,7516919.99,103.04,t2
647282.47,7516919.99,102.69,t2
647283.47,7516919.99,102.3,t2
647284.47,7516919.99,101.9,t2
647285.47,7516919.99,101.48,t2
647286.47,7516919.99,101.04,t2
647287.47,7516919.99,100.6,t2
647288.47,7516919.99,100.24,t2
647289.47,7516919.99,99.86,t2
647290.47,7516919.99,99.51,t2
647291.47,7516919.99,99.23,t2
647292.47,7516919.99,99.04,t2
647293.47,7516919.99,98.82,t2
647294.47,7516919.99,98.6,t2
647295.47,7516919.99,98.44,t2
647296.47,7516919.99,98.19,t2
647297.47,7516919.99,98.04,t2
647298.47,7516919.99,97.87,t2
647299.47,7516919.99,97.69,t2
647300.47,7516919.99,97.52,t2
647301.47,7516919.99,97.34,t2
647302.47,7516919.99,97.07,t2
647303.47,7516919.99,96.86,t2
647304.47,7516919.99,96.59,t2
647305.47,7516919.99,96.35,t2
647306.47,7516919.99,96.11,t2
647307.47,7516919.99,95.88,t2
647308.47,7516919.99,95.6,t2
647309.47,7516919.99,95.31,t2
647310.47,7516919.99,95.05,t2
647311.47,7516919.99,94.83,t2
647312.47,7516919.99,94.61,t2
647313.47,7516919.99,94.36,t2
647314.47,7516919.99,94.11,t2
647315.47,7516919.99,93.89,t2
647316.47,7516919.99,93.7,t2
647317.47,7516919.99,93.55,t2
647318.47,7516919.99,93.4,t2
647319.47,7516919.99,93.2,t2
647320.47,7516919.99,93.0,t2
647321.47,7516919.99,92.81,t2
647322.47,7516919.99,92.68,t2
647323.47,7516919.99,92.56,t2
647324.47,7516919.99,92.46,t2
647325.47,7516919.99,92.34,t2
647326.47,7516919.99,92.19,t2
647327.47,7516919.99,92.04,t2
647328.47,7516919.99,91.86,t2
647329.47,7516919.99,91.66,t2
647330.47,7516919.99,91.4,t2
647331.47,7516919.99,91.1,t2
647332.47,7516919.99,90.8,t2
647333.47,7516919.99,90.47,t2
647334.47,7516919.99,90.12,t2
647335.47,7516919.99,89.69,t2
647336.47,7516919.99,89.31,t2
647337.47,7516919.99,89.0,t2
647338.47,7516919.99,88.72,t2
647339.47,7516919.99,88.48,t2
647340.47,7516919.99,88.26,t2
647341.47,7516919.99,88.02,t2
647342.47,7516919.99,87.73,t2
647343.47,7516919.99,87.43,t2
647344.47,7516919.99,87.27,t2
647345.47,7516919.99,87.0,t2
647346.47,7516919.99,86.77,t2
647347.47,7516919.99,86.53,t2
647348.47,7516919.99,86.31,t2
647349.47,7516919.99,86.13,t2
647350.47,7516919.99,85.95,t2
647351.47,7516919.99,85.78,t2
647352.47,7516919.99,85.6,t2
647353.47,7516919.99,85.42,t2
647354.47,7516919.99,85.27,t2
647355.47,7516919.99,85.14,t2
647356.47,7516919.99,85.02,t2
