NAME,StartEast,StartNorth,StartElv,EndEast,EndNorth,EndElv,CYCLE_ID,MACHINE_ID,START_COORD_ID,END_COORD_ID,SESSION_ID,TIME_START,FORWARD_TOTAL_TIME,REVERSE_TOTAL_TIME,FORWARD_MOVING_TIME,REVERSE_MOVING_TIME,FORWARD_DISTANCE,REVERSE_DISTANCE,CUT_POS,CUT_NEG,FILL_POS,FILL_NEG,CUT_TO_POS,CUT_TO_NEG,FILL_TO_POS,FILL_TO_NEG,VERSION,LAST_CHANGED
DZ2156,647292,7516801,91.16,647405,7516801,87.13,1302129,16,2569941,2569942,,2023-04-29 14:00:43.000,174,65,174,65,112,141,125.48,63.43,219.32,194.66,234.05,266.31,53.83,48.7,1,2023-04-29 14:12:40.187
DZ2156,647306,7516792,89.99,647347,7516792,84.93,1302130,16,2569943,2569944,,2023-04-29 14:07:09.000,59,75,59,75,40,97,127.3,32.21,173.88,104.94,172.39,145.75,86.49,33.7,1,2023-04-29 14:12:40.373
DZ2156,647309,7516792,89.53,647403,7516793,86.75,1302178,16,2570039,2570040,,2023-04-29 14:09:23.000,140,69,140,69,93,88,67.17,72.97,97.04,93.6,97.71,103.94,56.83,72.3,1,2023-04-29 14:42:39.293
DZ2156,647314,7516792,88.86,647398,7516793,86.14,1302179,16,2570041,2570042,,2023-04-29 14:12:52.000,135,78,135,78,84,100,64.82,17.08,112.95,106.07,70.69,109.52,61.37,59.34,1,2023-04-29 14:42:39.433
DZ2156,647319,7516793,88.22,647414,7516793,87.46,1302180,16,2570043,2570044,,2023-04-29 14:16:25.000,145,76,145,76,95,97,77.88,64.73,123.57,110.23,126.59,137.82,50.29,61.71,1,2023-04-29 14:42:39.593
DZ2156,647328,7516792,87.17,647427,7516793,88.49,1302181,16,2570045,2570046,,2023-04-29 14:23:49.000,147,42,147,42,99,92,126.7,45.99,292.07,240.21,253.77,296.16,70.75,84.29,1,2023-04-29 14:42:39.837
DZ2156,647330,7516792,86.75,647421,7516793,87.92,1302182,16,2570047,2570048,,2023-04-29 14:26:58.000,135,47,135,47,90,101,64,34.96,112.95,106.91,129.8,146.79,24.12,18.11,1,2023-04-29 14:42:39.973
DZ2157,647342,7516776,85.03,647343,7516776,85.08,1302195,15,2570072,2570073,,2023-04-29 14:17:20.000,2,2,2,2,1,1,198.84,67.6,183.06,126.02,198.18,280.85,44.01,52.48,1,2023-04-29 14:42:45.613
DZ2157,647298,7516775,89.97,647306,7516777,89.16,1302196,15,2570074,2570075,,2023-04-29 14:21:39.000,13,8,13,8,8,7,46.19,10.94,354.26,135.37,309.38,149.04,32.52,55.82,1,2023-04-29 14:42:45.787
DZ2157,647300,7516776,89.68,647391,7516776,84.51,1302197,15,2570076,2570077,,2023-04-29 14:23:15.000,114,100,114,100,90,146,65.6,53.69,139.99,130.52,152.91,167.5,28.62,40.77,1,2023-04-29 14:42:46.053
