NAME,StartEast,StartNorth,StartElv,EndEast,EndNorth,EndElv,CYCLE_ID,MACHINE_ID,START_COORD_ID,END_COORD_ID,SESSION_ID,TIME_START,FORWARD_TOTAL_TIME,REVERSE_TOTAL_TIME,FORWARD_MOVING_TIME,REVERSE_MOVING_TIME,FORWARD_DISTANCE,REVERSE_DISTANCE,CUT_POS,CUT_NEG,FILL_POS,FILL_NEG,CUT_TO_POS,CUT_TO_NEG,FILL_TO_POS,FILL_TO_NEG,VERSION,LAST_CHANGED
DZ2156,647325,7516809,86.6,647439,7516809,89.75,1301979,16,2569642,2569643,,2023-04-29 10:20:38.000,168,63,168,63,113,106,238.53,107.3,327.63,272.41,290.11,368.93,142.01,144.82,1,2023-04-29 10:42:37.320
DZ2156,647319,7516809,87.62,647432,7516809,90.35,1301980,16,2569644,2569645,,2023-04-29 10:24:29.000,176,69,176,69,113,116,147.13,93.75,131.17,113.04,134.48,165.97,94.2,90.44,1,2023-04-29 10:42:37.510
DZ2156,647305,7516809,89.31,647322,7516809,87.2,1301981,16,2569646,2569647,,2023-04-29 10:34:11.000,24,104,24,104,17,134,161.28,110.54,189.42,177.94,161.01,217.08,122.14,138.95,1,2023-04-29 10:42:37.763
DZ2156,647297,7516809,90.5,647435,7516809,90.08,1302016,16,2569716,2569717,,2023-04-29 10:42:59.000,204,102,204,102,137,130,263.68,154.32,366.56,295.59,294.78,368.4,190.87,226.1,1,2023-04-29 11:12:40.057
DZ2157,647292,7516792,91.8,647391,7516793,85.28,1302005,15,2569694,2569695,,2023-04-29 10:23:07.000,141,73,141,73,98,95,103.25,35.81,228.31,151.18,167.95,201.27,53.16,96.17,1,2023-04-29 10:42:43.097
DZ2157,647296,7516793,91.5,647388,7516793,84.85,1302006,15,2569696,2569697,,2023-04-29 10:26:41.000,121,84,121,84,91,109,47.7,27.47,58.58,51.77,62.18,81.28,18.19,23.87,1,2023-04-29 10:42:43.230
DZ2157,647300,7516793,90.92,647406,7516793,86.62,1302007,15,2569698,2569699,,2023-04-29 10:30:06.000,135,74,135,74,105,96,64.41,45.47,37.85,37.95,66.32,83.06,19.3,17,1,2023-04-29 10:42:43.353
DZ2157,647305,7516793,90.3,647397,7516793,85.83,1302008,15,2569700,2569701,,2023-04-29 10:33:35.000,133,85,133,85,92,109,60.35,41.26,51.06,40.61,77.34,92.03,8.93,14.98,1,2023-04-29 10:42:43.483
DZ2157,647392,7516792,85.07,647414,7516793,87.34,1302009,15,2569702,2569703,,2023-04-29 10:37:13.000,26,36,26,36,21,54,19.13,2.59,18.69,17.79,21.28,36.92,0,0,1,2023-04-29 10:42:43.560
DZ2157,647424,7516784,88.12,647426,7516785,88.52,1302010,15,2569704,2569705,,2023-04-29 10:40:45.000,3,3,3,3,2,2,76.6,0.47,71.97,24.85,72.44,101.45,0,0,1,2023-04-29 10:42:43.767
