NAME,StartEast,StartNorth,StartElv,EndEast,EndNorth,EndElv,CYCLE_ID,MACHINE_ID,START_COORD_ID,END_COORD_ID,SESSION_ID,TIME_START,FORWARD_TOTAL_TIME,REVERSE_TOTAL_TIME,FORWARD_MOVING_TIME,REVERSE_MOVING_TIME,FORWARD_DISTANCE,REVERSE_DISTANCE,CUT_POS,CUT_NEG,FILL_POS,FILL_NEG,CUT_TO_POS,CUT_TO_NEG,FILL_TO_POS,FILL_TO_NEG,VERSION,LAST_CHANGED
DZ2156,647325,7516809,86.6,647439,7516809,89.75,1301979,16,2569642,2569643,,2023-04-29 10:20:38.000,168,63,168,63,113,106,238.53,107.3,327.63,272.41,290.11,368.93,142.01,144.82,1,2023-04-29 10:42:37.320
DZ2156,647319,7516809,87.62,647432,7516809,90.35,1301980,16,2569644,2569645,,2023-04-29 10:24:29.000,176,69,176,69,113,116,147.13,93.75,131.17,113.04,134.48,165.97,94.2,90.44,1,2023-04-29 10:42:37.510
DZ2156,647305,7516809,89.31,647322,7516809,87.2,1301981,16,2569646,2569647,,2023-04-29 10:34:11.000,24,104,24,104,17,134,161.28,110.54,189.42,177.94,161.01,217.08,122.14,138.95,1,2023-04-29 10:42:37.763
DZ2156,647297,7516809,90.5,647435,7516809,90.08,1302016,16,2569716,2569717,,2023-04-29 10:42:59.000,204,102,204,102,137,130,263.68,154.32,366.56,295.59,294.78,368.4,190.87,226.1,1,2023-04-29 11:12:40.057
DZ2156,647295,7516809,90.49,647428,7516809,89.97,1302017,16,2569718,2569719,,2023-04-29 10:48:05.000,184,117,184,117,132,149,101.26,69.72,151.94,126.97,108.46,138.51,89.72,113.2,1,2023-04-29 11:12:40.670
DZ2156,647295,7516809,90.45,647445,7516809,90.35,1302018,16,2569720,2569721,,2023-04-29 10:53:06.000,223,119,212,119,149,151,134.61,106.39,131.12,115.01,141.18,159.95,89.67,96.33,1,2023-04-29 11:12:41.053
DZ2156,647295,7516809,90.5,647447,7516809,90.17,1302019,16,2569722,2569723,,2023-04-29 10:58:48.000,222,115,222,115,151,146,139.34,97.25,132.58,125.26,131.54,156.93,107.67,98.29,1,2023-04-29 11:12:41.370
DZ2156,647323,7516817,87.19,647432,7516818,89.65,1302050,16,2569784,2569785,,2023-04-29 11:37:32.000,173,94,173,94,109,118,650.53,224.93,1459.34,1103.48,1310.04,1449.82,304.19,374.23,1,2023-04-29 11:42:45.047
DZ2157,647292,7516792,91.8,647391,7516793,85.28,1302005,15,2569694,2569695,,2023-04-29 10:23:07.000,141,73,141,73,98,95,103.25,35.81,228.31,151.18,167.95,201.27,53.16,96.17,1,2023-04-29 10:42:43.097
DZ2157,647296,7516793,91.5,647388,7516793,84.85,1302006,15,2569696,2569697,,2023-04-29 10:26:41.000,121,84,121,84,91,109,47.7,27.47,58.58,51.77,62.18,81.28,18.19,23.87,1,2023-04-29 10:42:43.230
