NAME,StartEast,StartNorth,StartElv,EndEast,EndNorth,EndElv,CYCLE_ID,MACHINE_ID,START_COORD_ID,END_COORD_ID,SESSION_ID,TIME_START,FORWARD_TOTAL_TIME,REVERSE_TOTAL_TIME,FORWARD_MOVING_TIME,REVERSE_MOVING_TIME,FORWARD_DISTANCE,REVERSE_DISTANCE,CUT_POS,CUT_NEG,FILL_POS,FILL_NEG,CUT_TO_POS,CUT_TO_NEG,FILL_TO_POS,FILL_TO_NEG,VERSION,LAST_CHANGED
DZ2156,647323,7516817,87.19,647432,7516818,89.65,1302050,16,2569784,2569785,,2023-04-29 11:37:32.000,173,94,173,94,109,118,650.53,224.93,1459.34,1103.48,1310.04,1449.82,304.19,374.23,1,2023-04-29 11:42:45.047
DZ2156,647440,7516801,89.57,647444,7516801,89.86,1302071,16,2569825,2569826,,2023-04-29 11:59:42.000,11,5,11,5,4,4,159.96,24.58,456.91,337.42,398.52,422.57,74.81,82.97,1,2023-04-29 12:12:45.730
DZ2157,647305,7516784,89.57,647322,7516784,87.64,1302066,15,2569815,2569816,,2023-04-29 11:31:09.000,35,94,35,94,16,121,128.92,97.65,269.95,153.99,185.9,211.55,71.36,181.7,1,2023-04-29 11:42:53.603
DZ2157,647305,7516784,89.49,647427,7516784,88.71,1302067,15,2569817,2569818,,2023-04-29 11:33:18.000,159,96,159,96,122,122,78.75,46.89,65.26,70.53,70.84,100.34,48.94,41.31,1,2023-04-29 11:42:53.783
DZ2157,647304,7516784,89.69,647427,7516784,88.81,1302068,15,2569819,2569820,,2023-04-29 11:37:33.000,164,99,164,99,123,126,73.76,57.68,86.23,55.78,76.47,92.86,36.68,67.44,1,2023-04-29 11:42:54.030
DZ2157,647302,7516784,90.01,647431,7516784,89.4,1302078,15,2569839,2569840,,2023-04-29 11:41:56.000,156,100,156,100,128,126,57.02,20.79,129.48,57.08,75.48,82.82,31.28,74.79,1,2023-04-29 12:12:55.337
DZ2157,647300,7516784,90.19,647429,7516784,89.12,1302079,15,2569841,2569842,,2023-04-29 11:46:12.000,152,100,152,100,128,129,53.38,35.41,92.7,57.04,62.19,80.63,29.79,65.92,1,2023-04-29 12:12:55.630
DZ2157,647295,7516784,90.96,647406,7516785,86.64,1302080,15,2569843,2569844,,2023-04-29 11:59:21.000,140,75,140,75,111,99,150.19,95.18,290.96,158.64,173.65,227.27,81.56,212.49,1,2023-04-29 12:12:56.670
DZ8032,647293,7516851,90.34,647372,7516851,81.62,1302052,1,2569788,2569789,181754,2023-04-29 11:38:00.000,139,66,139,66,79,85,241.11,125.45,665.74,522.56,679.44,680.64,83.03,111.75,2,2023-04-29 21:42:47.060
DZ8032,647296,7516852,90.04,647379,7516851,81.66,1302073,1,2569829,2569830,181754,2023-04-29 11:41:25.000,140,63,140,63,82,78,70.36,28,200.47,175.84,222.38,237.47,8.73,6.09,1,2023-04-29 12:12:49.263
DZ8032,647298,7516851,89.69,647372,7516850,81.5,1302074,1,2569831,2569832,181757,2023-04-29 11:45:52.000,128,57,128,57,73,72,81.7,52.83,232.97,205.59,273.21,270.69,16.6,12.59,2,2023-04-29 22:12:54.123
DZ8032,647303,7516850,89.25,647370,7516851,81.84,1302075,1,2569833,2569834,181757,2023-04-29 11:48:57.000,113,53,113,53,67,67,75.32,46.99,150.87,151.46,179.88,199.83,26.95,17.98,2,2023-04-29 22:12:54.123
DZ8032,647344,7516851,83.45,647370,7516851,81.82,1302076,1,2569835,2569836,181757,2023-04-29 11:51:43.000,176,29,55,27,26,17,32.58,15.63,75.97,51.49,85.49,64.77,19.3,6.11,2,2023-04-29 22:12:54.123
DZ8035,647392,7516835,84.48,647399,7516833,85.66,1302069,2,2569821,2569822,181756,2023-04-29 11:44:46.000,22,12,22,12,7,7,217.04,59.35,426.76,287.37,346.28,351.41,153,139.83,2,2023-04-29 22:12:39.743
DZ8035,647383,7516834,83.57,647407,7516833,87.22,1302070,2,2569823,2569824,181756,2023-04-29 11:47:23.000,28,58,28,58,24,62,31.61,26.52,112.39,53.79,35.26,40.97,44.43,103.65,2,2023-04-29 22:12:39.743
DZ8036,647436,7516904,89.01,647437,7516922,89.43,1302059,3,2569802,2569803,181755,2023-04-29 11:30:33.000,16,10,16,10,18,19,41.91,10.87,5.59,8.1,16.46,50.01,0,0,2,2023-04-29 21:42:50.330
DZ8036,647424,7516909,89.65,647438,7516909,89.32,1302060,3,2569804,2569805,181755,2023-04-29 11:35:49.000,21,11,21,11,13,13,86.44,70,321.29,215.27,391.29,301.71,0,0,2,2023-04-29 21:42:50.330
DZ8036,647419,7516908,88.64,647437,7516909,89.24,1302061,3,2569806,2569807,181755,2023-04-29 11:36:21.000,27,20,27,20,18,23,19.64,12.73,45.7,54.79,58.43,74.43,0,0,2,2023-04-29 21:42:50.330
DZ8036,647423,7516901,89.41,647438,7516901,89.17,1302062,3,2569808,2569809,181755,2023-04-29 11:38:47.000,23,14,23,14,14,16,70.14,51.88,249.98,87.93,301.86,158.07,0,0,2,2023-04-29 21:42:50.330
DZ8036,647420,7516901,88.11,647442,7516906,89.35,1302085,3,2569853,2569854,181755,2023-04-29 11:41:28.000,30,15,30,15,22,22,90.09,43.16,96.31,128.34,139.47,218.43,0,0,1,2023-04-29 13:12:41.110
DZ8036,647415,7516902,87.66,647442,7516905,89.37,1302086,3,2569855,2569856,181762,2023-04-29 11:42:13.000,29,23,29,23,27,22,41.42,5.87,75.41,19.48,81.28,60.9,0,0,2,2023-04-29 23:12:41.973
DZ8036,647422,7516899,88.28,647438,7516898,89.53,1302087,3,2569857,2569858,181762,2023-04-29 11:43:05.000,25,16,25,16,16,16,24.2,15.12,45.41,18.66,60.53,42.86,0,0,2,2023-04-29 23:12:41.973
DZ8036,647431,7516900,88.83,647437,7516901,89.05,1302088,3,2569859,2569860,181762,2023-04-29 11:43:55.000,9,5,9,5,6,6,8.98,2.05,6.64,10.57,8.69,19.55,0,0,2,2023-04-29 23:12:41.973
DZ8036,647415,7516899,87.64,647438,7516901,89.07,1302089,3,2569861,2569862,181762,2023-04-29 11:44:10.000,24,26,24,26,22,23,37.63,10.77,36.09,27.33,46.86,64.96,0,0,2,2023-04-29 23:12:41.973
DZ8036,647414,7516901,87.15,647439,7516908,89.23,1302090,3,2569863,2569864,181762,2023-04-29 11:45:51.000,38,24,38,24,25,26,128.71,40.02,62.06,43.85,102.08,172.56,0,0,2,2023-04-29 23:12:41.973
DZ8036,647414,7516901,86.85,647441,7516902,89.2,1302091,3,2569865,2569866,181762,2023-04-29 11:46:53.000,33,29,33,29,26,25,54.85,28.13,11.85,12.91,39.98,67.76,0,0,2,2023-04-29 23:12:41.973
DZ8084,647288,7516916,96.11,647435,7516922,89.28,1302158,4,2569999,2570000,181644,2023-04-29 11:40:03.000,191,85,191,85,147,141,1137.07,252.28,69.4,41.87,203.17,997,181.94,118.51,1,2023-04-29 14:28:42.173
DZ8084,647287,7516915,96.28,647429,7516920,89.11,1302159,4,2570001,2570002,181644,2023-04-29 11:44:39.000,215,121,215,121,142,150,206.98,151.84,11.66,13.74,88.2,133.68,87.04,75.3,1,2023-04-29 14:28:42.463
DZ8084,647286,7516915,96.48,647438,7516921,89.19,1302160,4,2570003,2570004,181644,2023-04-29 11:50:15.000,217,107,217,107,152,150,188.27,153.21,19.93,16.02,78.37,107.69,96.6,94.77,1,2023-04-29 14:28:42.670
